UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/05/20,08/04/20,08/09/20,08/08/20,08/07/20,08/06/20,08/11/20,08/10/20
,,,,,,Adygea Republic,Russia,44.6939006,40.1520421,"Adygea Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,5,7,7,13,13,13,13,20,20,20,20,27,27,43,79,84,91,100,108,113,114,117,119,134,142,150,154,163,165,168,178,185,190,202,206,212,220,224,241,252,271,276,307,347,398,430,461,525,561,591,622,671,696,721,759,783,794,813,854,874,890,904,937,962,995,1025,1069,1115,1158,1213,1251,1278,1311,1340,1389,1415,1446,1484,1511,1541,1569,1607,1647,1682,1712,1746,1795,1847,1898,1935,1981,2039,2068,2094,2121,2145,2167,2187,2205,2224,2242,2258,2275,2291,2308,2326,2344,2364,2384,2411,2436,2470,2496,2530,2568,2604,2642,2679,2714,2747,2775,2803,2830,2880,2855,2975,2955,2930,2906,3016,2995
,,,,,,Altai Krai,Russia,52.6932243,82.69314240000001,"Altai Krai, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,7,12,12,18,21,21,29,29,31,36,39,48,53,63,72,84,127,136,144,152,215,283,310,324,348,382,423,451,498,534,555,588,605,621,641,669,707,727,770,809,847,885,925,970,1014,1054,1111,1185,1254,1325,1406,1485,1554,1633,1708,1779,1848,1915,1985,2066,2135,2192,2255,2319,2390,2458,2524,2593,2659,2726,2795,2867,2939,3010,3078,3153,3226,3298,3371,3445,3522,3600,3676,3753,3831,3909,3985,4059,4134,4207,4299,4414,4538,4709,4897,5121,5361,5589,5821,6056,6294,6540,6755,6983,7184,7382,7573,7758,7941,8107,8253,8391,8531,8665,8786,8893,8998,9109,9217,9326,9433,9622,9528,9999,9907,9809,9714,10185,10094
,,,,,,Altai Republic,Russia,50.7114101,86.8572186,"Altai Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,8,8,9,9,14,15,27,27,30,32,33,35,36,36,37,38,40,41,51,52,54,56,60,63,65,69,75,78,81,82,88,92,92,95,102,104,105,109,110,116,122,132,133,138,154,156,163,172,180,190,204,212,220,243,256,275,279,300,334,336,396,421,436,466,483,511,522,561,597,617,650,681,745,777,808,849,869,891,936,962,993,1036,1053,1099,1111,1139,1154,1197,1217,1239,1276,1304,1331,1351,1387,1419,1437,1462,1476,1498,1529,1551,1579,1606,1631,1643,1636,1709,1693,1672,1661,1731,1724
,,,,,,Amur Oblast,Russia,52.8032368,128.437295,"Amur Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,6,17,6,6,6,9,11,14,16,20,20,23,25,28,33,36,40,41,46,56,67,72,79,84,98,106,112,123,135,140,152,169,182,194,204,212,222,238,247,277,294,317,340,355,385,401,414,433,461,486,506,528,546,566,588,615,657,702,748,796,835,873,914,973,1018,1062,1100,1138,1181,1230,1283,1340,1399,1444,1490,1528,1572,1610,1651,1682,1707,1734,1765,1795,1826,1860,1889,1917,1944,1975,2019,2057,2097,2143,2185,2227,2271,2314,2354,2393,2423,2451,2478,2506,2534,2566,2600,2632,2660,2689,2724,2752,2776,2801,2824,2866,2845,2948,2929,2909,2887,2981,2966
,,,,,,Arkhangelsk Oblast,Russia,63.5589686,43.1221646,"Arkhangelsk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,7,7,7,7,8,8,8,14,14,14,24,24,24,24,31,32,32,33,34,39,107,114,118,120,123,137,147,167,175,181,185,198,213,238,260,299,305,329,354,372,400,425,457,494,513,554,586,638,688,720,792,817,858,888,925,1020,1146,1315,1410,1537,1638,1796,1933,2068,2124,2363,2496,2621,2746,2868,2989,3085,3217,3362,3474,3587,3696,3803,3912,4035,4156,4274,4395,4524,4631,4755,4875,4992,5107,5225,5339,5454,5556,5674,5790,5909,6026,6196,6300,6419,6534,6647,6759,6873,6988,7122,7251,7370,7492,7608,7712,7819,7908,7989,8081,8157,8225,8291,8365,8434,8497,8565,8641,8710,8767,8842,8901,9040,8969,9303,9235,9165,9101,9414,9366
,,,,,,Astrakhan Oblast,Russia,47.1878186,47.608851,"Astrakhan Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,5,5,5,5,21,21,21,29,30,30,47,60,64,99,123,136,137,148,165,186,211,277,298,306,350,365,384,411,487,504,535,564,589,629,673,731,764,806,850,895,945,984,1029,1065,1099,1154,1202,1247,1298,1348,1501,1558,1596,1614,1654,1693,1752,1883,1937,2004,2097,2172,2233,2293,2337,2420,2501,2586,2630,2674,2733,2794,2862,2927,2987,3046,3103,3158,3206,3242,3275,3307,3347,3382,3419,3448,3479,3513,3548,3577,3617,3656,3698,3738,3773,3806,3842,3873,3910,3943,3977,4013,4045,4086,4144,4176,4213,4245,4280,4311,4341,4371,4405,4437,4473,4503,4538,4569,4620,4657,4688,4751,4717,4896,4865,4831,4792,4965,4928
,,,,,,Bashkortostan Republic,Russia,54.8573563,57.1439682,"Bashkortostan Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,5,7,8,10,10,10,10,10,12,16,22,40,65,84,107,129,149,191,213,252,252,297,371,396,422,455,490,527,570,631,691,766,843,935,1022,1102,1136,1160,1243,1332,1416,1491,1567,1647,1696,1784,1874,1963,2061,2155,2247,2335,2424,2514,2602,2683,2772,2851,2942,3021,3105,3185,3260,3337,3409,3501,3608,3727,3832,3928,4017,4113,4194,4273,4348,4418,4486,4547,4611,4670,4730,4792,4850,4906,4959,5011,5068,5121,5171,5220,5267,5315,5361,5405,5450,5497,5543,5591,5638,5686,5731,5778,5826,5875,5921,5967,6014,6077,6134,6194,6249,6307,6348,6386,6426,6463,6500,6536,6571,6607,6640,6675,6711,6745,6780,6815,6851,6920,6886,7059,7024,6990,6955,7127,7093
,,,,,,Belgorod Oblast,Russia,50.7080119,37.5837615,"Belgorod Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,6,6,7,7,11,14,18,18,26,26,31,31,41,45,58,70,81,90,112,122,144,176,202,221,242,269,299,327,355,383,419,454,485,524,540,574,613,659,707,798,852,942,994,1073,1149,1222,1292,1361,1428,1499,1581,1654,1736,1825,1901,1980,2059,2140,2223,2310,2392,2471,2548,2624,2695,2769,2840,2913,2988,3061,3137,3207,3284,3364,3442,3514,3592,3666,3747,3820,3896,3976,4048,4120,4189,4261,4331,4399,4464,4524,4583,4637,4697,4749,4806,4857,4906,4950,4998,5038,5085,5128,5176,5227,5271,5319,5360,5398,5441,5486,5527,5571,5617,5656,5703,5745,5784,5829,5871,5910,5952,5998,6042,6083,6169,6123,6360,6314,6269,6220,6461,6410
,,,,,,Bryansk Oblast,Russia,52.8873315,33.41585300000001,"Bryansk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,5,5,7,19,19,24,56,57,97,97,123,141,142,142,164,201,228,256,279,321,350,399,459,494,521,599,642,668,783,901,989,1062,1148,1250,1287,1367,1442,1514,1537,1605,1678,1753,1826,1908,1995,2080,2178,2293,2405,2515,2632,2737,2840,2951,3057,3156,3254,3363,3473,3578,3685,3787,3885,3982,4078,4174,4269,4364,4458,4551,4641,4732,4825,4920,5011,5098,5183,5270,5345,5421,5498,5579,5655,5729,5801,5870,5941,6011,6079,6147,6212,6271,6325,6378,6429,6479,6522,6563,6603,6643,6679,6725,6770,6817,6862,6906,6947,6978,7008,7038,7068,7091,7116,7141,7164,7194,7221,7245,7272,7305,7340,7370,7400,7430,7460,7522,7490,7622,7590,7565,7546,7677,7650
,,,,,,Buryatia Republic,Russia,52.7182426,109.492143,"Buryatia Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,13,19,25,30,31,35,35,43,43,50,54,60,61,73,77,86,92,100,103,112,115,115,125,153,163,167,180,186,209,227,245,271,297,325,355,373,407,450,499,518,548,570,620,659,687,736,824,865,892,948,973,1015,1042,1090,1124,1143,1209,1254,1313,1364,1411,1438,1467,1513,1563,1587,1633,1681,1733,1785,1833,1877,1956,2020,2110,2153,2203,2252,2303,2341,2392,2446,2501,2549,2591,2634,2682,2731,2775,2831,2857,2886,2924,2957,2991,3034,3071,3100,3141,3175,3219,3257,3298,3341,3378,3414,3449,3481,3522,3566,3608,3651,3692,3729,3767,3786,3824,3864,3902,3934,3969,4007,4046,4081,4123,4159,4199,4263,4238,4379,4345,4316,4287,4444,4409
