UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/05/20,08/04/20,08/09/20,08/08/20,08/07/20,08/06/20,08/11/20,08/10/20,08/12/20,08/14/20,08/13/20,08/15/20,08/18/20,08/17/20,08/16/20,08/19/20,08/20/20,08/25/20,08/24/20,08/23/20,08/22/20,08/21/20,08/26/20,08/31/20,08/30/20,08/29/20,08/28/20,08/27/20,09/02/20,09/01/20,09/03/20,09/04/20,09/06/20,09/05/20,09/07/20,09/09/20,09/08/20,09/10/20,09/14/20,09/13/20,09/12/20,09/11/20,09/16/20,09/15/20,09/18/20,09/17/20,09/22/20,09/21/20,09/20/20,09/19/20,09/25/20,09/24/20,09/23/20,09/29/20,09/28/20,09/27/20,09/26/20,10/01/20,09/30/20,10/05/20,10/04/20,10/03/20,10/02/20,10/06/20,10/08/20,10/07/20,10/12/20,10/11/20,10/10/20,10/09/20,10/15/20,10/14/20,10/13/20,10/18/20,10/17/20,10/16/20,10/19/20,10/26/20,10/25/20,10/24/20,10/23/20,10/22/20,10/21/20,10/20/20,10/28/20,10/27/20,11/02/20,11/01/20,10/31/20,10/30/20,10/29/20,11/03/20,11/05/20,11/04/20,11/11/20,11/10/20,11/09/20,11/08/20,11/07/20,11/06/20,11/13/20,11/12/20,11/16/20,11/15/20,11/14/20
,,,,,,Adygea Republic,Russia,44.6939006,40.1520421,"Adygea Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,5,7,7,13,13,13,13,20,20,20,20,27,27,43,79,84,91,100,108,113,114,117,119,134,142,150,154,163,165,168,178,185,190,202,206,212,220,224,241,252,271,276,307,347,398,430,461,525,561,591,622,671,696,721,759,783,794,813,854,874,890,904,937,962,995,1025,1069,1115,1158,1213,1251,1278,1311,1340,1389,1415,1446,1484,1511,1541,1569,1607,1647,1682,1712,1746,1795,1847,1898,1935,1981,2039,2068,2094,2121,2145,2167,2187,2205,2224,2242,2258,2275,2291,2308,2326,2344,2364,2384,2411,2436,2470,2496,2530,2568,2604,2642,2679,2714,2747,2775,2803,2830,2880,2855,2975,2955,2930,2906,3016,2995,3035,3076,3055,3095,3144,3129,3113,3161,3179,3273,3254,3234,3214,3195,3291,3386,3364,3346,3327,3308,3420,3400,3440,3461,3500,3480,3522,3567,3546,3587,3669,3650,3630,3609,3710,3689,3753,3730,3847,3824,3799,3775,3925,3897,3873,4051,4019,3989,3956,4114,4080,4266,4227,4186,4149,4308,4392,4348,4556,4513,4475,4434,4699,4648,4601,4857,4802,4749,4918,5421,5346,5273,5195,5121,5049,4982,5561,5491,5899,5834,5770,5701,5633,5960,6098,6028,6527,6453,6381,6310,6241,6169,6679,6602,6899,6828,6753
,,,,,,Altai Krai,Russia,52.6932243,82.69314240000001,"Altai Krai, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,7,12,12,18,21,21,29,29,31,36,39,48,53,63,72,84,127,136,144,152,215,283,310,324,348,382,423,451,498,534,555,588,605,621,641,669,707,727,770,809,847,885,925,970,1014,1054,1111,1185,1254,1325,1406,1485,1554,1633,1708,1779,1848,1915,1985,2066,2135,2192,2255,2319,2390,2458,2524,2593,2659,2726,2795,2867,2939,3010,3078,3153,3226,3298,3371,3445,3522,3600,3676,3753,3831,3909,3985,4059,4134,4207,4299,4414,4538,4709,4897,5121,5361,5589,5821,6056,6294,6540,6755,6983,7184,7382,7573,7758,7941,8107,8253,8391,8531,8665,8786,8893,8998,9109,9217,9326,9433,9622,9528,9999,9907,9809,9714,10185,10094,10273,10445,10360,10534,10802,10711,10623,10887,10968,11317,11251,11186,11115,11042,11387,11720,11655,11591,11523,11456,11844,11781,11908,11970,12094,12033,12156,12280,12216,12342,12588,12528,12466,12405,12716,12651,12846,12780,13138,13060,12987,12914,13378,13298,13217,13728,13635,13546,13459,13921,13823,14334,14230,14125,14022,14448,14711,14577,15338,15169,15007,14853,15858,15680,15508,16408,16223,16039,16593,18133,17923,17716,17510,17306,17103,16898,18565,18347,19667,19440,19217,19000,18781,19892,20339,20113,21731,21499,21265,21034,20799,20568,22204,21967,22919,22683,22445
,,,,,,Altai Republic,Russia,50.7114101,86.8572186,"Altai Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,8,8,9,9,14,15,27,27,30,32,33,35,36,36,37,38,40,41,51,52,54,56,60,63,65,69,75,78,81,82,88,92,92,95,102,104,105,109,110,116,122,132,133,138,154,156,163,172,180,190,204,212,220,243,256,275,279,300,334,336,396,421,436,466,483,511,522,561,597,617,650,681,745,777,808,849,869,891,936,962,993,1036,1053,1099,1111,1139,1154,1197,1217,1239,1276,1304,1331,1351,1387,1419,1437,1462,1476,1498,1529,1551,1579,1606,1631,1643,1636,1709,1693,1672,1661,1731,1724,1739,1775,1750,1799,1870,1833,1818,1884,1903,2020,2014,1992,1959,1926,2041,2142,2125,2108,2086,2075,2181,2162,2209,2228,2288,2252,2319,2364,2323,2391,2563,2514,2477,2422,2640,2584,2746,2681,2978,2946,2868,2798,3177,3113,3048,3478,3427,3320,3242,3598,3532,3940,3854,3769,3682,4007,4193,4095,4595,4514,4407,4296,4874,4772,4638,5212,5079,4960,5345,6611,6464,6272,6080,5861,5702,5542,6902,6758,7829,7645,7449,7271,7099,7940,8275,8111,9033,8908,8808,8681,8545,8438,9292,9157,9623,9527,9415
,,,,,,Amur Oblast,Russia,52.8032368,128.437295,"Amur Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,6,17,6,6,6,9,11,14,16,20,20,23,25,28,33,36,40,41,46,56,67,72,79,84,98,106,112,123,135,140,152,169,182,194,204,212,222,238,247,277,294,317,340,355,385,401,414,433,461,486,506,528,546,566,588,615,657,702,748,796,835,873,914,973,1018,1062,1100,1138,1181,1230,1283,1340,1399,1444,1490,1528,1572,1610,1651,1682,1707,1734,1765,1795,1826,1860,1889,1917,1944,1975,2019,2057,2097,2143,2185,2227,2271,2314,2354,2393,2423,2451,2478,2506,2534,2566,2600,2632,2660,2689,2724,2752,2776,2801,2824,2866,2845,2948,2929,2909,2887,2981,2966,2997,3025,3010,3042,3098,3081,3060,3118,3140,3228,3208,3189,3172,3157,3250,3386,3355,3326,3299,3274,3449,3418,3479,3508,3572,3537,3608,3671,3641,3700,3816,3789,3761,3731,3867,3842,3928,3895,4050,4021,3989,3959,4139,4108,4078,4259,4229,4201,4171,4326,4291,4477,4437,4401,4362,4519,4611,4562,4833,4776,4721,4664,5007,4945,4887,5201,5133,5068,5264,5983,5871,5763,5659,5553,5450,5345,6203,6092,6903,6747,6602,6463,6331,7061,7382,7220,8373,8205,8039,7874,7707,7543,8713,8542,9198,9039,8878
,,,,,,Arkhangelsk Oblast,Russia,63.5589686,43.1221646,"Arkhangelsk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,7,7,7,7,8,8,8,14,14,14,24,24,24,24,31,32,32,33,34,39,107,114,118,120,123,137,147,167,175,181,185,198,213,238,260,299,305,329,354,372,400,425,457,494,513,554,586,638,688,720,792,817,858,888,925,1020,1146,1315,1410,1537,1638,1796,1933,2068,2124,2363,2496,2621,2746,2868,2989,3085,3217,3362,3474,3587,3696,3803,3912,4035,4156,4274,4395,4524,4631,4755,4875,4992,5107,5225,5339,5454,5556,5674,5790,5909,6026,6196,6300,6419,6534,6647,6759,6873,6988,7122,7251,7370,7492,7608,7712,7819,7908,7989,8081,8157,8225,8291,8365,8434,8497,8565,8641,8710,8767,8842,8901,9040,8969,9303,9235,9165,9101,9414,9366,9479,9630,9547,9697,9921,9838,9768,9988,10059,10382,10358,10306,10225,10136,10442,10825,10783,10702,10602,10515,10937,10888,10985,11059,11191,11131,11269,11406,11337,11491,11844,11753,11657,11574,12007,11932,12193,12090,12562,12481,12384,12290,12853,12755,12653,13317,13193,13078,12963,13589,13448,14251,14072,13896,13736,14438,14799,14617,15669,15427,15181,14982,16255,16062,15867,16877,16659,16452,17105,18973,18675,18389,18117,17854,17598,17351,19602,19285,21323,20945,20580,20246,19921,21710,22476,22099,24575,24237,23896,23554,23204,22845,25254,24915,26288,25942,25599
,,,,,,Astrakhan Oblast,Russia,47.1878186,47.608851,"Astrakhan Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,5,5,5,5,21,21,21,29,30,30,47,60,64,99,123,136,137,148,165,186,211,277,298,306,350,365,384,411,487,504,535,564,589,629,673,731,764,806,850,895,945,984,1029,1065,1099,1154,1202,1247,1298,1348,1501,1558,1596,1614,1654,1693,1752,1883,1937,2004,2097,2172,2233,2293,2337,2420,2501,2586,2630,2674,2733,2794,2862,2927,2987,3046,3103,3158,3206,3242,3275,3307,3347,3382,3419,3448,3479,3513,3548,3577,3617,3656,3698,3738,3773,3806,3842,3873,3910,3943,3977,4013,4045,4086,4144,4176,4213,4245,4280,4311,4341,4371,4405,4437,4473,4503,4538,4569,4620,4657,4688,4751,4717,4896,4865,4831,4792,4965,4928,5006,5079,5041,5115,5229,5185,5148,5264,5294,5478,5445,5410,5369,5331,5508,5693,5658,5628,5591,5551,5771,5730,5809,5844,5935,5894,5978,6076,6026,6115,6305,6263,6218,6168,6409,6356,6504,6457,6698,6653,6604,6550,6856,6804,6749,7068,7012,6955,6899,7154,7109,7352,7301,7251,7202,7401,7509,7454,7746,7684,7624,7566,7949,7879,7811,8168,8093,8020,8245,8964,8846,8731,8626,8524,8425,8338,9204,9083,9820,9695,9570,9446,9324,9946,10199,10074,10980,10848,10716,10586,10455,10326,11251,11115,11658,11523,11385
,,,,,,Bashkortostan Republic,Russia,54.8573563,57.1439682,"Bashkortostan Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,5,7,8,10,10,10,10,10,12,16,22,40,65,84,107,129,149,191,213,252,252,297,371,396,422,455,490,527,570,631,691,766,843,935,1022,1102,1136,1160,1243,1332,1416,1491,1567,1647,1696,1784,1874,1963,2061,2155,2247,2335,2424,2514,2602,2683,2772,2851,2942,3021,3105,3185,3260,3337,3409,3501,3608,3727,3832,3928,4017,4113,4194,4273,4348,4418,4486,4547,4611,4670,4730,4792,4850,4906,4959,5011,5068,5121,5171,5220,5267,5315,5361,5405,5450,5497,5543,5591,5638,5686,5731,5778,5826,5875,5921,5967,6014,6077,6134,6194,6249,6307,6348,6386,6426,6463,6500,6536,6571,6607,6640,6675,6711,6745,6780,6815,6851,6920,6886,7059,7024,6990,6955,7127,7093,7162,7230,7197,7264,7367,7333,7298,7402,7435,7601,7567,7534,7500,7469,7634,7795,7763,7731,7698,7667,7856,7825,7888,7918,7981,7949,8011,8072,8042,8101,8223,8193,8161,8131,8286,8254,8350,8317,8487,8452,8417,8384,8592,8556,8521,8748,8708,8669,8630,8831,8790,9007,8961,8917,8873,9051,9144,9098,9340,9290,9240,9191,9532,9463,9398,9737,9670,9605,9805,10330,10247,10167,10089,10015,9942,9873,10501,10415,10956,10863,10768,10678,10586,11051,11244,11148,11871,11758,11653,11547,11446,11343,12096,11981,12444,12328,12210
,,,,,,Belgorod Oblast,Russia,50.7080119,37.5837615,"Belgorod Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,6,6,7,7,11,14,18,18,26,26,31,31,41,45,58,70,81,90,112,122,144,176,202,221,242,269,299,327,355,383,419,454,485,524,540,574,613,659,707,798,852,942,994,1073,1149,1222,1292,1361,1428,1499,1581,1654,1736,1825,1901,1980,2059,2140,2223,2310,2392,2471,2548,2624,2695,2769,2840,2913,2988,3061,3137,3207,3284,3364,3442,3514,3592,3666,3747,3820,3896,3976,4048,4120,4189,4261,4331,4399,4464,4524,4583,4637,4697,4749,4806,4857,4906,4950,4998,5038,5085,5128,5176,5227,5271,5319,5360,5398,5441,5486,5527,5571,5617,5656,5703,5745,5784,5829,5871,5910,5952,5998,6042,6083,6169,6123,6360,6314,6269,6220,6461,6410,6509,6613,6562,6665,6807,6762,6714,6854,6901,7117,7074,7033,6990,6944,7157,7365,7320,7279,7239,7195,7449,7405,7491,7531,7610,7569,7654,7742,7699,7786,7962,7919,7874,7832,8056,8008,8152,8103,8365,8311,8260,8208,8546,8483,8422,8798,8735,8674,8607,8933,8864,9200,9135,9067,9000,9267,9410,9336,9719,9642,9564,9488,9989,9895,9803,10267,10176,10080,10362,11046,10947,10846,10750,10652,10557,10458,11248,11149,11802,11694,11575,11461,11350,11914,12164,12033,13072,12918,12758,12603,12462,12306,13393,13229,13882,13720,13555
,,,,,,Bryansk Oblast,Russia,52.8873315,33.41585300000001,"Bryansk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,5,5,7,19,19,24,56,57,97,97,123,141,142,142,164,201,228,256,279,321,350,399,459,494,521,599,642,668,783,901,989,1062,1148,1250,1287,1367,1442,1514,1537,1605,1678,1753,1826,1908,1995,2080,2178,2293,2405,2515,2632,2737,2840,2951,3057,3156,3254,3363,3473,3578,3685,3787,3885,3982,4078,4174,4269,4364,4458,4551,4641,4732,4825,4920,5011,5098,5183,5270,5345,5421,5498,5579,5655,5729,5801,5870,5941,6011,6079,6147,6212,6271,6325,6378,6429,6479,6522,6563,6603,6643,6679,6725,6770,6817,6862,6906,6947,6978,7008,7038,7068,7091,7116,7141,7164,7194,7221,7245,7272,7305,7340,7370,7400,7430,7460,7522,7490,7622,7590,7565,7546,7677,7650,7707,7773,7739,7805,7869,7852,7830,7889,7904,8047,8022,7993,7963,7934,8073,8227,8194,8159,8125,8097,8278,8252,8305,8337,8405,8370,8437,8497,8465,8533,8687,8645,8606,8571,8782,8733,8878,8830,9078,9030,8978,8927,9197,9155,9117,9373,9333,9291,9239,9475,9421,9747,9673,9601,9534,9829,10000,9913,10360,10275,10183,10092,10630,10536,10446,10960,10847,10737,11083,12053,11913,11772,11633,11495,11363,11237,12334,12192,13111,12949,12786,12633,12481,13280,13608,13443,14595,14432,14271,14104,13935,13768,14911,14752,15367,15221,15071
,,,,,,Buryatia Republic,Russia,52.7182426,109.492143,"Buryatia Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,13,19,25,30,31,35,35,43,43,50,54,60,61,73,77,86,92,100,103,112,115,115,125,153,163,167,180,186,209,227,245,271,297,325,355,373,407,450,499,518,548,570,620,659,687,736,824,865,892,948,973,1015,1042,1090,1124,1143,1209,1254,1313,1364,1411,1438,1467,1513,1563,1587,1633,1681,1733,1785,1833,1877,1956,2020,2110,2153,2203,2252,2303,2341,2392,2446,2501,2549,2591,2634,2682,2731,2775,2831,2857,2886,2924,2957,2991,3034,3071,3100,3141,3175,3219,3257,3298,3341,3378,3414,3449,3481,3522,3566,3608,3651,3692,3729,3767,3786,3824,3864,3902,3934,3969,4007,4046,4081,4123,4159,4199,4263,4238,4379,4345,4316,4287,4444,4409,4475,4537,4507,4566,4663,4630,4600,4699,4731,4954,4906,4860,4804,4769,5001,5243,5190,5136,5087,5042,5331,5291,5380,5427,5531,5481,5582,5666,5632,5705,5889,5844,5796,5748,5984,5937,6088,6028,6352,6286,6219,6152,6551,6483,6417,6821,6753,6687,6619,6963,6888,7313,7215,7126,7042,7408,7598,7503,7987,7889,7792,7694,8302,8195,8085,8667,8540,8419,8806,10250,10037,9822,9613,9406,9175,8964,10679,10467,11803,11566,11331,11105,10890,12039,12509,12276,13897,13667,13438,13206,12975,12743,14366,14130,15109,14838,14603
